Index,Team,GP,GS,Mins,G,A,S,SOT,KP,Tackles,FC,FS,OFF,YC,RC,P
327,San Diego Wave FC,25,25,2220,0,0,0,0,0,0,1,3,0,0,1,G
413,NJ/NY Gotham FC,27,25,2126,5,6,37,20,6,37,33,28,2,2,1,M
527,Portland Thorns,26,25,2236,0,0,8,2,0,17,4,8,0,0,0,D
636,Chicago Red Stars,25,25,2119,7,4,40,32,4,27,29,35,20,0,0,F
318,Racing Louisville FC,26,26,2340,0,0,0,0,0,0,0,0,0,0,0,G
372,Washington Spirit,28,26,2409,3,0,14,6,0,51,38,22,0,8,0,M
394,Racing Louisville FC,26,26,2339,0,2,8,1,2,33,16,62,6,3,0,M
417,NJ/NY Gotham FC,28,26,2188,2,1,18,8,1,20,33,18,2,4,0,M
447,North Carolina Courage,26,26,2295,1,3,8,2,3,23,3,3,0,0,0,D
465,Utah Royals FC,26,26,2340,2,1,11,5,1,26,22,14,0,3,0,D
471,Racing Louisville FC,26,26,2340,0,2,5,3,2,15,4,2,2,0,0,D
490,Chicago Red Stars,26,26,2152,0,1,6,2,1,32,2,18,0,1,0,D
502,Bay FC,27,26,2389,0,2,1,1,2,19,10,7,0,0,0,D
542,North Carolina Courage,26,26,2328,0,0,2,1,0,57,14,8,4,1,1,D
564,Kansas City Current,27,26,2324,21,6,91,64,6,30,38,28,18,1,0,F
621,North Carolina Courage,27,26,2219,5,4,49,28,4,16,9,18,5,1,0,F
321,North Carolina Courage,27,27,2430,0,0,0,0,0,0,0,3,0,1,0,G
410,Chicago Red Stars,27,27,2403,0,0,5,1,0,20,13,22,0,3,0,M
491,North Carolina Courage,27,27,2430,1,0,10,4,0,19,13,15,0,4,0,D
526,Orlando Pride,28,27,2455,1,3,2,2,3,28,21,21,0,2,0,D
529,NJ/NY Gotham FC,27,27,2368,0,1,5,1,1,16,20,18,0,5,0,D
533,Orlando Pride,28,27,2428,0,2,6,2,2,24,17,23,1,2,1,D
439,Orlando Pride,29,28,2378,1,2,9,5,2,35,23,16,1,3,0,D
317,Washington Spirit,29,29,2669,0,0,1,0,0,1,1,6,0,0,1,G
320,Orlando Pride,29,29,2610,0,0,0,0,0,0,0,8,0,1,0,G
604,Washington Spirit,29,29,2670,1,1,13,4,1,33,23,22,2,2,0,F
67,Orlando Pride,10,9,108,0,0,3,0,0,5,2,4,0,0,0,F
